paper_id,title,authors,venue,year,category,core_method,dataset_used,key_metric,key_metric_value,key_strength,key_limitation,how_we_differ,cite_in_sections,notes
smith2023example,"Example Paper Title","Smith et al.","CVPR","2023","direct_predecessor","Brief one-sentence description of their core technical approach","Dataset name(s) used for evaluation","Accuracy / F1 / AUC / AP etc.","97.3%","What they do genuinely well — be fair and specific","The specific weakness most relevant to your work — not a general critique","One sentence: what your method does that this paper does not or cannot","intro,related_work,experiments","Any additional notes — edge cases, unusual aspects, things to double-check"
placeholder_2,"","","","","direct_predecessor","","","","","","","","intro,related_work",""
placeholder_3,"","","","","direct_predecessor","","","","","","","","related_work",""
placeholder_4,"","","","","direct_predecessor","","","","","","","","related_work,experiments",""
placeholder_5,"","","","","direct_predecessor","","","","","","","","related_work",""
placeholder_6,"","","","","methodological_foundation","","","","","","","","method",""
placeholder_7,"","","","","methodological_foundation","","","","","","","","method",""
placeholder_8,"","","","","methodological_foundation","","","","","","","","method",""
placeholder_9,"","","","","methodological_foundation","","","","","","","","method,experiments",""
placeholder_10,"","","","","methodological_foundation","","","","","","","","experiments",""
placeholder_11,"","","","","gap_exposing","","","","","","","","intro,related_work",""
placeholder_12,"","","","","gap_exposing","","","","","","","","intro,related_work",""
placeholder_13,"","","","","gap_exposing","","","","","","","","related_work",""
placeholder_14,"","","","","gap_exposing","","","","","","","","related_work",""
placeholder_15,"","","","","gap_exposing","","","","","","","","related_work",""
